source,author,title,description,url,urlToImage,publishedAt,content,search_topic
"{'id': None, 'name': 'PBS'}","Gabrielle Lazor, PolitiFact, Samantha Putterman, PolitiFact",What is a visa bond? Here’s who is affected by the U.S. State Department’s new program,"The U.S. State Department announced a new rule implementing up to $15,000 bonds on tourism and business visa applicants from countries with historically higher rates of visa overstays. Here’s who’s affected by the change.",https://www.pbs.org/newshour/politics/what-is-a-visa-bond-heres-who-is-affected-by-the-u-s-state-departments-new-program,https://d3i6fh83elv35t.cloudfront.net/static/2025/08/2025-07-17T212257Z_539196999_RC2GMFAU77KK_RTRMADP_3_USA-RUBIO-ELECTION-1024x683.jpg,2025-08-07T23:57:28Z,"This article originally appeared on PolitiFact.
As part of its crackdown on immigration, the U.S. State Department announced that it would start requiring travelers from certain countries to pay bon… [+6619 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",investing.com,Brazil weighs pulling $5.5 billion from development bank fund to prop up tariff-hit businesses,,https://biztoc.com/x/9e1dc27f542a0bdb,https://biztoc.com/cdn/9e1dc27f542a0bdb_s.webp,2025-08-07T23:54:01Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump nominate Stephen Miran to the Fed? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What caused Intel CEO re… [+798 chars]",economy
"{'id': None, 'name': 'Forbes'}","Charlie Fink, Contributor, 
 Charlie Fink, Contributor
 https://www.forbes.com/sites/charliefink/","AI Upends Search, A Tidal Wave Of XR Glasses Is Set Crash This Fall","Meta shifts from Quest to smart glasses, Google’s AI upsets publishers, Character AI launches social newsfeed, IMAX screens AI films.",https://www.forbes.com/sites/charliefink/2025/08/07/ai-upends-search-a-tidal-wave-of-xr-glasses-is-set-crash-this-fall/,https://imageio.forbes.com/specials-images/imageserve/6895347ee76d4f8310e000b3/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-08-07T23:44:49Z,"Liz Reid, vice president, search, Google speaks during an event in New Delhi on December 19, 2022. (Photo by Sajjad HUSSAIN / AFP) (Photo by SAJJAD HUSSAIN/AFP via Getty Images)
AFP via Getty Images… [+6856 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,"Trump Says Armenia, Azerbaijan to Sign Peace Deal at White House",,https://biztoc.com/x/414fdf2ae7e41d82,https://biztoc.com/cdn/414fdf2ae7e41d82_s.webp,2025-08-07T23:43:17Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+799 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,Disney Settles Wrongful Termination Suit With ‘Mandalorian’ Star,,https://biztoc.com/x/c951f957a85c4cbb,https://biztoc.com/cdn/c951f957a85c4cbb_s.webp,2025-08-07T23:43:14Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+798 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",reuters.com,"Tesla shuts down Dojo supercomputer team, reassigns workers amid strategic AI shift, Bloomberg News reports",,https://biztoc.com/x/d0336ea90349eca4,https://biztoc.com/cdn/d0336ea90349eca4_s.webp,2025-08-07T23:43:12Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+824 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",reuters.com,Singapore's Sembcorp posts marginal fall in half-yearly profit,,https://biztoc.com/x/0597f87277254ef6,https://biztoc.com/cdn/0597f87277254ef6_s.webp,2025-08-07T23:43:05Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+789 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",barrons.com,The MAGA Takeover of the Fed Begins Now,,https://biztoc.com/x/86f61658bcc2b425,https://biztoc.com/cdn/86f61658bcc2b425_s.webp,2025-08-07T23:42:55Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+750 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",barchart.com,2 Dividend Stocks Yielding 7% to Pounce on Now,,https://biztoc.com/x/01f8b9a4717b178a,https://biztoc.com/cdn/950/og.png,2025-08-07T23:42:49Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+767 chars]",economy
"{'id': None, 'name': 'PBS'}","PBS News, PBS NewsHour","August 7, 2025 – PBS News Hour full episode","Thursday on the News Hour, the global economy reacts as steep U.S. tariffs against nearly 100 countries take effect. Prime Minister Benjamin Netanyahu signals that Israel now intends to take over all of Gaza. Plus, we report from Louisiana, where patients and…",https://www.pbs.org/newshour/show/august-7-2025-pbs-news-hour-full-episode,https://d3i6fh83elv35t.cloudfront.net/static/2025/08/fullepisode-6-1024x683.jpg,2025-08-07T23:41:10Z,"Thursday on the News Hour, the global economy reacts as steep U.S. tariffs against nearly 100 countries take effect. Prime Minister Benjamin Netanyahu signals that Israel now intends to take over all… [+155 chars]",economy
"{'id': None, 'name': 'Livemint'}",Ayaan Kartik,"Automakers raise alarm bells about demand despite healthy GDP, cooling inflation","India's leading auto companies like Maruti Suzuki and Mahindra are facing weak demand despite healthy GDP growth. Executives expressed concerns during earnings calls, hoping for a turnaround during the festive season, aided by reduced interest rates.",https://www.livemint.com/industry/automakers-raise-alarm-bells-about-demand-even-as-gdp-grows-inflation-falls-11754565609018.html,https://www.livemint.com/lm-img/img/2025/08/07/1600x900/2-0-103331222-Maruti-3C-0_1681388172666_1754567003698.jpg,2025-08-07T23:35:09Z,"New Delhi: India's high economic growth and falling inflation have failed to accelerate sales of cars and 2-wheelers, with the country's largest automobile firms like Maruti Suzuki India Ltd, Honda M… [+6510 chars]",economy
"{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,Governor Parnaik calls for revival and pride in traditional weaving on National Handloom Day,"HT Correspondent ITANAGAR, August 7: Marking the celebration of National Handloom Day, the Governor of Arunachal Pradesh, Lt General KT Parnaik, PVSM, UYSM, YSM (Retd), extended heartfelt greetings to the weavers, artisans, and entrepreneurs of the State, ack…",https://thehillstimes.in/arunachal-pradesh/governor-parnaik-calls-for-revival-and-pride-in-traditional-weaving-on-national-handloom-day,https://thehillstimes.in/wp-content/uploads/2025/08/New-Project18-10.jpg,2025-08-07T23:35:00Z,"HT Correspondent
ITANAGAR, August 7: Marking the celebration of National Handloom Day, the Governor of Arunachal Pradesh, Lt General KT Parnaik, PVSM, UYSM, YSM (Retd), extended heartfelt greetings … [+3049 chars]",economy
"{'id': 'nbc-news', 'name': 'NBC News'}",The Associated Press,A new leadership is appointed in Haiti as gangs threaten to overthrow the government,"PORT-AU-PRINCE, Haiti — A wealthy businessman on Thursday became the head of Haiti’s transitional presidential council tasked with restoring order in the troubled country as a top gang leader underscored the challenges facing the nation by vowing to overthrow…",https://www.nbcnews.com/world/haiti/new-leadership-appointed-haiti-gangs-threaten-overthrow-government-rcna223767,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-08/250807-haiti-leadership-ew-656p-5a8d22.jpg",2025-08-07T23:31:46Z,"A call for order
Saint-Cyr thanked all national and international actors who have helped Haiti, as well as the private sector, which he called the engine of the countrys economy. He noted that while… [+3273 chars]",economy
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Rakesh Mohan Chaturvedi,Trump’s levy decision fails to spook India: PM Modi says will shield farmers at any cost,"A day after the US announced steep new tariffs on Indian goods, Prime Minister Narendra Modi reaffirmed his government’s commitment to protecting the interests of farmers, livestock rearers, and fisherfolk, saying their welfare remains the top priority. Speak…",https://economictimes.indiatimes.com/news/economy/foreign-trade/trumps-levy-decision-fails-to-spook-india-pm-modi-says-will-shield-farmers-at-any-cost/articleshow/123173502.cms,"https://img.etimg.com/thumb/msid-123173483,width-1200,height-630,imgsize-70370,overlay-economictimes/articleshow.jpg",2025-08-07T23:30:00Z,"Prime Minister Narendra declared that the welfare of farmers, those who rear livestock and fisherfolk were the top priority of his government and he was prepared to bear any cost to protect their int… [+3315 chars]",economy
"{'id': None, 'name': 'KPBS'}","Julianna Domingo, Andrew Bowen",How San Diego Black Pride celebrates Black joy and queer life,"San Diego Black Pride is kicking off its annual festival, which centers Black queerness and joy in San Diego. Then, hear from our Midday Movies critics about their favorite Shakespearean film adaptations.",https://www.kpbs.org/podcasts/kpbs-midday-edition/how-san-diego-black-pride-celebrates-black-joy-and-queer-life,https://cdn.kpbs.org/dims4/default/2b5d610/2147483647/strip/true/crop/6000x3150+0+425/resize/1200x630!/quality/90/?url=http%3A%2F%2Fkpbs-brightspot.s3.us-west-2.amazonaws.com%2Fe9%2F41%2F5a1ab0a044f7995ad95caf8d290b%2Fimg-9844.JPG,2025-08-07T23:22:55Z,"S1: It's time for KPBS Midday Edition on today's arts show. We hear about San Diego Black Pride , which kicks off tomorrow. I'm Andrew Bowen in for Jade Hindman with conversations that keep you infor… [+30647 chars]",economy
"{'id': None, 'name': 'Freerepublic.com'}",Daily Mail,Gina Carano rejoices over win for free speech as Disney settles Mandalorian firing with groveling statement,"Gina Carano has received a settlement following her controversial 2021 firing from Disney's The Mandalorian. The actress and mixed martial arts veteran, 43, who starred as Cara Dune in the Star Wars franchise spin-off, was canned from the popular series in ea…",https://freerepublic.com/focus/f-news/4333327/posts,,2025-08-07T23:21:06Z,"Skip to comments.
Gina Carano rejoices over win for free speech as Disney settles Mandalorian firing with groveling statementDaily Mail ^Posted on 08/07/2025 4:21:06 PM PDT by algore
Gina Carano ha… [+1957 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",marketwatch.com,Is now a good time to refinance your car loan? Here’s how to tell,,https://biztoc.com/x/212ca6de464246a9,https://biztoc.com/cdn/950/og.png,2025-08-07T23:09:33Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+768 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",apnews.com,How does the WNBA solve its sex toy problem? What to know about arrests and security,,https://biztoc.com/x/bd18559f573a47e9,https://biztoc.com/cdn/950/og.png,2025-08-07T23:09:33Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+758 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,Sweetgreen Nixes Fries that Sought to ‘Redefine’ Fast Food,,https://biztoc.com/x/db279b62cc54fba8,https://biztoc.com/cdn/db279b62cc54fba8_s.webp,2025-08-07T23:09:31Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+792 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",asia.nikkei.com,Indonesian mining industry warns over operations permit reform,,https://biztoc.com/x/cf80ec4c17ae9464,https://biztoc.com/cdn/950/og.png,2025-08-07T23:09:25Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+806 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",fnlondon.com,Perella Weinberg adds Evercore dealmaker Queis to bolster European technology,,https://biztoc.com/x/aeb89e70949591c0,https://biztoc.com/cdn/aeb89e70949591c0_s.webp,2025-08-07T23:09:17Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+797 chars]",economy
"{'id': None, 'name': 'NPR'}",The Associated Press,Haiti inaugurates a new leader as gangs threaten to overthrow the government,Businessman Laurent Saint-Cyr became the head of Haiti's transitional presidential council tasked with restoring order as gangs underscored the challenges facing the Caribbean nation.,https://www.npr.org/2025/08/07/nx-s1-5495653/haiti-government-gangs,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4575x2573+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F48%2Fec%2F86c3debb47bb8f76c3eb0a6c6045%2Fap25219666169945.jpg,2025-08-07T23:04:27Z,"PORT-AU-PRINCE, Haiti A wealthy businessman on Thursday became the head of Haiti's transitional presidential council tasked with restoring order in the troubled country as a top gang leader underscor… [+7032 chars]",economy
"{'id': None, 'name': 'Ambcrypto.com'}",Ishika Kumari,Ethereum news today: ‘Could ETH do 100x?’ questions Tom Lee,Is this Ethereum's breakout moment or just the calm before the next wave of volatility?,https://ambcrypto.com/ethereum-news-today-could-eth-do-100x-questions-tom-lee/,https://ambcrypto.com/wp-content/uploads/2025/08/Tom-Lee-Ethereum-prediction-1000x600.webp,2025-08-07T23:00:47Z,"Key Takeaway
With Ethereum hovering around $3,764 and showing solid bullish momentum, Tom Lee’s prediction of a $6,000 valuation may not be far-fetched. 
Institutional activity continues to grow ar… [+3283 chars]",economy
"{'id': None, 'name': 'New Zealand Herald'}",Chris Keall,Six reasons why Spark could get its shine back at its full-year result – Tech Insider,But analysts still expect the telco's dividend to be squeezed.,https://www.nzherald.co.nz/business/companies/telecommunications/six-reasons-why-spark-could-get-its-shine-back-at-its-full-year-result-tech-insider/EDO76XQN4NBZ5PJSSJCO2J4UZA/,https://www.nzherald.co.nz/resizer/v2/NOQA3VFAIVDFJP24RHIRNQT6WY.jpg?auth=c03dd628f55dfdddc88868824f1589f2905f835da781ba013221a6ad573f979c&width=1200&height=675&quality=70&focal=729%2C921&smart=false,2025-08-07T23:00:00Z,"Spark shares were recently trading at $2.50 for a $4.7 billion market cap. The stock is down 43% for the year. 
Spark will announce its earnings for the year to June 30 on August 20.
Tech Insider s… [+5752 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",openai.com,"GPT-5 will use “safe completions”, a training approach to maximize model helpfulness within safety constraints and an improvement over refusal-based training",,https://biztoc.com/x/00d79e9f74bdde3a,https://biztoc.com/cdn/950/og.png,2025-08-07T22:59:59Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+733 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",wsj.com,The EU says companies exporting chips to the US will face a 15% tariff ceiling despite President Trump's new “approximately 100%” chip levy announcement,,https://biztoc.com/x/773123310b09155d,https://biztoc.com/cdn/950/og.png,2025-08-07T22:59:50Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+835 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",youtube.com,A recording of OpenAI's GPT-5 announcement,,https://biztoc.com/x/47423ce07970d027,https://biztoc.com/cdn/950/og.png,2025-08-07T22:59:46Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+726 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",wsj.com,"SignalFire: as the AI talent race explodes, Anthropic is hiring engineers 2.68x faster than losing them, above OpenAI's 2.18x, Meta's 2.07x, and Google's 1.17x",,https://biztoc.com/x/d7ea600d70d201d1,https://biztoc.com/cdn/950/og.png,2025-08-07T22:59:45Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Trump's new tariffs have on US economy? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump ca… [+807 chars]",economy
