source,author,title,description,url,urlToImage,publishedAt,content,search_topic
"{'id': 'fox-news', 'name': 'Fox News'}",,"Parrot helps law enforcement uncover drug trafficking ring, leading to major bust",A parrot trained to repeat drug phrases helped British police dismantle a trafficking network operated inside a Lancashire prisonby the group's ringleader.,https://www.foxnews.com/world/parrot-helps-law-enforcement-uncover-drug-trafficking-ring-leading-major-bust,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/parrott-bust.gif,2025-08-07T23:32:42Z,"A parrot trained to mimic drug-related phrases played an unlikely role in helping British police dismantle a narcotics network operating inside a prison, authorities revealed this week.
The Lancashi… [+3922 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Ghislaine Maxwell blocked from puppy training program at Federal Prison Camp Bryan: report,"Ghislaine Maxwell has been barred from participating in service dog training programs at her new prison in Texas, according to a report.",https://www.foxnews.com/us/ghislaine-maxwell-blocked-from-puppy-training-program-federal-prison-camp-bryan,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/maxwell-puppy.jpg,2025-08-07T23:19:18Z,"Ghislaine Maxwell, the former accomplice and ex-girlfriend of Jeffrey Epstein, has been barred from taking part in service dog training programs at her new prison, according to a report.
Maxwell was… [+1840 chars]",source_specific
"{'id': 'bbc-news', 'name': 'BBC News'}",,07/08/2025 23:01 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172zwwr5blmbkg,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2025-08-07T23:06:00Z,The latest five minute news bulletin from BBC World Service.,source_specific
"{'id': 'bbc-news', 'name': 'BBC News'}",Jim Reed,Why a dockside health clinic could be the future of NHS care,Tom Parker was treated in one of 70 harbour health clinics after breaking his fibula fishing at sea.,https://www.bbc.co.uk/news/articles/cm21z711g59o,https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/8330/live/602afd90-6ca1-11f0-89ea-4d6f9851f623.jpg,2025-08-07T23:05:13Z,"On a clear summer morning a spare room in the trawler agent's offices in Brixham harbour is quickly being converted into a temporary health clinic.
Blue screens are dragged across to split up the sp… [+1439 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Gov. Greg Abbott threatens to redistrict 8 seats for GOP if Dem lawmakers don't return to Texas,"In a preview clip of Friday's ""Ruthless"" podcast,"" Republican Texas Gov. Greg Abbott threatened to create up to eight new seats for his party if Democratic state lawmakers don't return.",https://www.foxnews.com/media/gov-greg-abbott-threatens-redistrict-8-seats-gop-dem-lawmakers-dont-return-texas,https://static.foxnews.com/foxnews.com/content/uploads/2024/07/RNC-Donald-Trump-Day-3_40.jpg,2025-08-07T22:58:52Z,"Republican Texas Gov. Greg Abbott threatened to increase the redistricting margin for his party if Democratic state lawmakers don't return to Austin. 
Democrats from the Lone Star state have made na… [+3141 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Defense Secretary Hegseth considers reversing Army ban on aggressive 'shark attack' training,"Pete Hegseth may reinstate the aggressive ""shark attack"" practice used by drill sergeants to train U.S. Army recruits, which was largely ended in 2020.",https://www.foxnews.com/politics/defense-secretary-hegseth-considers-reversing-army-ban-aggressive-shark-attack-training,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/hegseth-army-shark-attack-training-reversal-fox-news-001.jpg,2025-08-07T22:52:41Z,"Defense Secretary Pete Hegseth is considering reversing a ban on the ""shark attack,"" the time-honored aggressive practice used by drill sergeants to train U.S. Army recruits in basic training.
The p… [+4213 chars]",source_specific
"{'id': 'cnn', 'name': 'CNN'}",CNN بالعربية,هل الموعد النهائي لفرض العقوبات على روسيا لا يزال قائما؟.. ترامب يجيب لـCNN,قال الرئيس الأمريكي دونالد ترامب، الخميس، إنه لن يشترط انعقاد لقائه المحتمل مع نظيره الروسي فلاديمير بوتين بالاجتماع مع الرئيس الأوكراني فولوديمير زيلينسكي.,https://arabic.cnn.com/world/article/2025/08/08/trump-says-his-putin-sit-down-is-not-conditioned-on-russian-leader-meeting-zelenksy,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,h_1008,c_fill,q_auto,g_center/t_cnnarabic_watermark_logo_v5/cnnarabic/2025/08/08/images/306073.jpg",2025-08-07T22:51:34Z,,source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Biden camp skipped Super Bowl interview amid Robert Hur report concerns: Source,Anita Dunn discussed the Biden team's talks about a Super Bowl interview and cognitive tests in her closed-door discussion with the House Oversight Committee.,https://www.foxnews.com/politics/biden-camp-skipped-super-bowl-interview-amid-robert-hur-report-concerns-source,https://static.foxnews.com/foxnews.com/content/uploads/2025/05/joe-biden-robert-hur.jpg,2025-08-07T22:42:45Z,"Former President Joe Biden's campaign team allegedly opted against a Super Bowl interview last year because of Special Counsel Robert Hur's report, Fox News Digital has learned.
A source familiar wi… [+4896 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Texans' C.J. Gardner-Johnson carted from West Virginia training camp finale with possible leg injury: report,The Houston Texans' C.J. Gardner-Johnson appeared to sustain a frightening injury in a chilling moment at a final training camp scrimmage.,https://www.foxnews.com/sports/texans-c-j-gardner-johnson-carted-from-west-virginia-training-camp-finale-possible-leg-injury-report,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/texans-cj-gardner-johnson.jpg,2025-08-07T22:33:55Z,"Silence fell at the Houston Texans' last training camp practice in West Virginia after one of the team's key defensive players appeared seriously injured. 
The Texans' final intrasquad scrimmage at … [+2050 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Dem challenger calls GOP congresswoman 'ESL puppet' in heated immigration post: 'Vile extremist',"Democratic challenger Esther Kim Varet called Rep. Young Kim an ""ESL puppet"" in a heated California congressional race focused on immigration policies.",https://www.foxnews.com/politics/dem-challenger-calls-gop-congresswoman-esl-puppet-heated-immigration-post-vile-extremist,https://static.foxnews.com/foxnews.com/content/uploads/2023/05/GettyImages-1255600392-1.jpg,2025-08-07T22:22:00Z,"EXCLUSIVE: Rep. Young Kim, R-Calif., responded to comments from a Democratic challenger referring to her as an ""ESL puppet"" in a post criticizing the Trump administrations immigration policies.
""My … [+3553 chars]",source_specific
"{'id': 'fox-news', 'name': 'Fox News'}",,Jessica Alba's 'stunning' in green bikini as romance with ‘Top Gun’ star Danny Ramirez heats up,"Jessica Alba posted a photo of herself enjoying some fun in the sun while in a green bikini top and sunglasses, as she sips on a coconut drink.",https://www.foxnews.com/entertainment/jessica-albas-stunning-green-bikini-romance-top-gun-star-danny-ramirez-heats-up,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/jessica-alba-split.jpg,2025-08-07T22:18:56Z,"Jessica Alba is enjoying some fun in the sun.
The 44-year-old ""Sin City"" star posted a photo of herself enjoying the summer sun in a dark green string bikini, captioning the post, ""Sunshine.""
In th… [+2564 chars]",source_specific
